"Entidade";"Número/Ano Obra";"Número/Ano Intervenção";"Nome Empresa";"CPF/CNPJ";"Valor Total";"Descrição";"Data de Cadastro";"Data de Início";"Previsão Conclusão";"Percentual Conclusão (%)";"Situação"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES PUBLICOS DO MUNICIPIO DE CASCAVEL -IPMC";"1 / 2019";"1 / 2019";"BURATTO INDUSTRIA METALURGICA LTDA";"11.943.310/0001-66";"40000.0000";"CONSTRUÇÃO DE MURO DA NOVA SEDE ADMINISTRATIVA";"02/01/2019";"02/01/2019";"31/01/2019";"100";"Concluída"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES PUBLICOS DO MUNICIPIO DE CASCAVEL -IPMC";"2 / 2019";"2 / 2019";"BURATTO INDUSTRIA METALURGICA LTDA";"11.943.310/0001-66";"150400.0700";"CONTRATAÇÃO DE EMPRESA PARA FABRICAÇÃO E INSTALAÇÃO DE DIVISÓRIAS E BRISE PARA NOVA SEDE";"01/02/2019";"04/02/2019";"04/03/2019";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"49 / 2022";"49 / 2022";"PAVIMENTACOES E TERRAPLENAGENS SCHMITT LTDA";"03.030.002/0001-11";"565388.5800";"TP 15-2022 - PAVIMENTAÇÃO URBANA - PAVIMENTAÇÃO DE VIAS URBANAS";"18/11/2022";"18/11/2022";"15/02/2023";"0";"Cancelada"
"MUNICÍPIO DE CASCAVEL";"47 / 2022";"47 / 2022";"ANDERSON SILVA DE MELLO PAVIMENTAÇÕES LTDA";"39.757.960/0001-36";"481670.6700";"TP 13-2022 - PAVIMENTAÇÃO DE VIAS RURAIS - ESTRADA RURAL DO RIO DO SALTO-NOSSA SENHORA DE LO";"31/10/2022";"31/10/2022";"25/10/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"50 / 2022";"50 / 2022";"JOÃO P. B. FERREIRA & CIA LTDA. - ME; JOÃO P. B. FERREIRA & CIA LTDA. - ME";"09.320.122/0001-30; 09.320.122/0001-30";"4883141.9200";"CP 16-2022 - PAVIMENTAÇÃO URBANA - PAVIMENTAÇÃO DE VIAS URBANAS";"09/12/2022";"09/12/2022";"06/07/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"51 / 2022";"51 / 2022";"DRENO CONSTRUCOES LTDA";"18.417.467/0001-05";"23000000.0000";"CP 31-2022 - PAVIMENTAÇÃO URBANA - PAVIMENTAÇÃO DE VIAS URBANAS";"22/12/2022";"22/12/2022";"13/06/2024";"92.29";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"1 / 2023";"1 / 2023";"PRADO & PRADO LTDA";"23.153.183/0001-80";"8728564.4100";"CP 17-2022 - PAVIMENTAÇÃO URBANA - PAVIMENTAÇÃO DE VIAS URBANAS";"20/01/2023";"20/01/2023";"18/07/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"3 / 2023";"3 / 2023";"PETROCON CONSTRUTORA DE OBRAS LTDA";"80.337.868/0001-10";"1479580.6100";"CP 21-2022 - PAVIMENTAÇÃO URBANA - PAVIMENTAÇÃO DE VIAS URBANAS";"09/02/2023";"09/02/2023";"08/06/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"17 / 2023";"17 / 2023";"CONSTRUTORA GUILHERME LTDA";"00.220.057/0001-04";"13599510.0900";"CP 5-2023 - PARQUE AMBIENTAL NO BAIRRO FLORESTA";"30/05/2023";"30/05/2023";"24/01/2024";"14.51";"Paralisada/Suspensa"
"MUNICÍPIO DE CASCAVEL";"8 / 2023";"8 / 2023";"CONTERSOLO CONSTRUTORA DE OBRAS LTDA";"03.436.676/0001-10";"22349861.1500";"CP 37-2022 - Parque Ambiental e Centro de Convivência Intergeracional Bairro S.ta Felicidade";"14/03/2023";"14/03/2023";"03/09/2024";"58.57";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"16 / 2023";"16 / 2023";"XLAM DO BRASIL ESTRUTURAS, ENGENHARIA, INDÚSTRIA, REFLORESTAMENTO, BENEFICIAMENTO, IMPORTAÇÃO E EXPORTAÇÃO E COMÉRCIO DE MADEIRA LTDA";"02.804.729/0001-46";"2152815.2300";"CP 2-2023 - REFORMA DO GINÁSIO DE ESPORTES ODILON REINHARDT";"23/05/2023";"23/05/2023";"19/09/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"18 / 2023";"18 / 2023";"PEDREIRA RIO QUATI LTDA";"82.658.253/0001-11";"652493.0500";"CP 7-2023 - RECAPE ASFÁLTICO NA PISTA DO KARTÓDROMO MUNICIPAL DELCI DAMIAN";"12/06/2023";"12/06/2023";"11/07/2023";"100";"Concluída"
"COMPANHIA MUNICIPAL DE HABITACÃO DE CASCAVEL - COHAVEL";"3 / 2020";"3 / 2020";"";"";"0";"EXECUÇÃO DE OBRAS DE PAVIMENTAÇÃO";"02/12/2020";"30/07/2020";"25/01/2021";"0";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"60 / 2019";"60 / 2019";"GD2 ADMINISTRADORA DE OBRAS LTDA";"16.517.222/0001-16";"819577.8100";"CP 10-2019 (LOTE 04) - ECO PONTO NO BAIRRO BRASÍLIA";"23/10/2019";"23/10/2019";"19/04/2020";"100";"Concluída"
"COMPANHIA MUNICIPAL DE HABITACÃO DE CASCAVEL - COHAVEL";"1 / 2022";"1 / 2022";"";"";"0";"Construção de unidades habitacionais";"13/04/2022";"11/04/2022";"10/04/2023";"0";"Em Andamento"
"COMPANHIA MUNICIPAL DE HABITACÃO DE CASCAVEL - COHAVEL";"2 / 2022";"2 / 2022";"";"";"0";"Grama sintética";"30/06/2022";"30/06/2022";"30/07/2022";"0";"Em Andamento"
"COMPANHIA MUNICIPAL DE HABITACÃO DE CASCAVEL - COHAVEL";"3 / 2022";"3 / 2022";"";"";"0";"Parques infantis";"30/06/2022";"30/06/2022";"29/06/2023";"0";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"6 / 2023";"6 / 2023";"HANSEN, BELLEI & MELO LTDA";"28.014.669/0001-51";"2539492.9200";"CP 42-2022 (Item 2) -  Pavimentação de Estradas Rurais - Est. Rural Peroba - Distrito de Diamante";"10/03/2023";"10/03/2023";"05/09/2023";"93.09";"Concluída"
"MUNICÍPIO DE CASCAVEL";"5 / 2023";"5 / 2023";"CONSTRUTORA DANILO BANDEIRA LTDA; CONSTRUTORA DANILO BANDEIRA LTDA; CONSTRUTORA DANILO BANDEIRA LTDA";"10.684.046/0001-20; 10.684.046/0001-20; 10.684.046/0001-20";"10757674.3900";"CP 39-2022 - Escola Municipal Prof.ª Ilizete Santa Bonato Pasini (Escola da Trtansparência II)";"10/03/2023";"10/03/2023";"03/03/2024";"88.68";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"10 / 2023";"10 / 2023";"PROENERG ENGENHARIA LTDA";"02.586.175/0001-58";"1943014.7700";"CP 30-2022 - CONSTRUÇÃO DE COMPLEXO ESPORTIVO DE PARADESPORTO - ETAPA 01";"24/03/2023";"24/03/2023";"18/12/2023";"70.64";"Paralisada/Suspensa"
"MUNICÍPIO DE CASCAVEL";"13 / 2023";"13 / 2023";"CPD CONSTRUCOES LTDA; CPD CONSTRUCOES LTDA";"09.245.810/0001-82; 09.245.810/0001-82";"5001402.9300";"CP 34-2022 - GINÁSIO POLIESPORTIVO DO CCI CASCAVEL VELHO";"11/04/2023";"11/04/2023";"06/12/2023";"71.19";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"9 / 2023";"9 / 2023";"SB ENGENHARIA LTDA";"07.318.697/0001-92";"499736.0400";"CP 40-2022 - CONSTRUÇÃO DE TRINCHEIRA DE COLETA DE RESÍDUOS";"24/03/2023";"24/03/2023";"19/09/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"14 / 2023";"14 / 2023";"CONSTRUTORA DANILO BANDEIRA LTDA; CONSTRUTORA DANILO BANDEIRA LTDA";"10.684.046/0001-20; 10.684.046/0001-20";"6571003.3500";"CP 20-2022 - REFORMA E AMPLIAÇÃO DA ESCOLA PROF.ª MARIA DOS PRAZERES NERES DA SILVA";"11/04/2023";"11/04/2023";"03/07/2024";"79.99";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"12 / 2023";"12 / 2023";"PPN CONSTRUCOES LTDA; PPN CONSTRUCOES LTDA";"80.303.761/0001-51; 80.303.761/0001-51";"2215755.6300";"CP 43-2022 - RESTAURANTE POPULAR NO BAIRRO FLORESTA";"11/04/2023";"11/04/2023";"07/10/2023";"91.66";"Paralisada/Suspensa"
"COMPANHIA MUNICIPAL DE HABITACÃO DE CASCAVEL - COHAVEL";"1 / 2023";"21 / 2023";"";"";"0";"Construção de 08 Unidades Habitacionais";"27/06/2023";"29/06/2023";"31/12/2024";"0";"Em Andamento"
"COMPANHIA MUNICIPAL DE HABITACÃO DE CASCAVEL - COHAVEL";"2 / 2023";"22 / 2023";"";"";"0";"Construção de 06 Unidades Habitacionais";"29/06/2023";"29/06/2023";"30/12/2024";"0";"Em Andamento"
"ACESC - ADMINISTRADORA DE CEMITERIOS E SERVIÇOS FUNERARIOS DE CASCAVEL";"2 / 2023";"1 / 2023";"BEL ARTE CONSTRUTORA LTDA";"35.812.336/0001-33";"482844.4400";"CONSTRUÇÃO CAPELA MORTUÁRIA BAIRRO MORUMBI";"01/08/2023";"01/08/2023";"17/10/2023";"78.11";"Paralisada/Suspensa"
"MUNICÍPIO DE CASCAVEL";"24 / 2023";"24 / 2023";"HBM SERVICOS DE ENGENHARIA LTDA";"31.374.305/0001-97";"3496122.8600";"CP 10/2023 - Pavimentação da Estrada Dalpare";"09/08/2023";"09/08/2023";"05/03/2024";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"11 / 2023";"11 / 2023";"DRENO CONSTRUCOES LTDA; DRENO CONSTRUCOES LTDA; DRENO CONSTRUCOES LTDA";"18.417.467/0001-05; 18.417.467/0001-05; 18.417.467/0001-05";"6989724.5092";"CP 1-2023 - REVITALIZAÇÃO DA SANGA AMAMBAI NO BAIRRO MORUMBI";"27/03/2023";"27/03/2023";"21/11/2023";"100";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"7 / 2023";"7 / 2023";"DRENO CONSTRUCOES LTDA";"18.417.467/0001-05";"4030040.0300";"CP 36-2022 - Execução da Obra de Construção do Viaduto de Transposição da rodovia BR 277";"10/03/2023";"10/03/2023";"04/12/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"4 / 2023";"4 / 2023";"PAVIMENTACOES E TERRAPLENAGENS SCHMITT LTDA";"03.030.002/0001-11";"3163091.1017";"CP 32-2022 - PAVIMENTAÇÃO URBANA - PAVIMENTAÇÃO DE VIAS URBANAS";"08/02/2023";"08/02/2023";"05/09/2023";"64.13";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"8 / 2014";"41 / 2014";"INTERLAGOS MATERIAIS DE CONSTRUCAO LTDA; INTERLAGOS MATERIAIS DE CONSTRUCAO LTDA";"02.328.802/0001-50; 02.328.802/0001-50";"539155.01";"ESCOLA MUNICIPAL MARIA FANNY QUESSADA DE ARAÚJO - TP 17/2014";"05/11/2014";"05/11/2014";"02/06/2015";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"9 / 2014";"42 / 2014";"INTERLAGOS MATERIAIS DE CONSTRUCAO LTDA; INTERLAGOS MATERIAIS DE CONSTRUCAO LTDA";"02.328.802/0001-50; 02.328.802/0001-50";"552714.78";"ESCOLA MUNICIPAL TEREZINHA PICOLLI CEZAROTTO - TP 19/2014";"17/11/2014";"17/11/2014";"14/06/2015";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"3 / 2015";"5 / 2015";"LESSIO ENGENHARIA E CONSTRUÇAO CIVIL LTDA - EPP; LESSIO ENGENHARIA E CONSTRUÇAO CIVIL LTDA - EPP";"04.516.630/0001-74; 04.516.630/0001-74";"1269649.7600";"ESCOLA DO CAMPO ARTHUR OSCAR MOMBACH - TP 22/2014";"10/02/2015";"10/02/2015";"06/11/2015";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"7 / 2015";"25 / 2015";"ECEC - EMPRESA CASCAVELENSE DE ENGENHARIA E CONSTRUÇÕES LTDA";"07.395.174/0001-40";"218590.14";"PAVIMENTAÇÃO DE VIAS URBANAS - RUA PADRE DONIZETI (LOTE 1) E RUA AMANÁ (LOTE 2) - TP 08/2015";"07/08/2015";"07/08/2015";"04/11/2015";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"10 / 2015";"30 / 2015";"GEBECOM TECNOLOGIA LTDA";"03.282.927/0001-50";"10390.00";"ATERRO SANITÁRIO - TP 14/2015";"29/09/2015";"29/09/2015";"26/01/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"6 / 2014";"30 / 2014";"B P PRÉ-MOLDADOS E CONSTRUTORA LTDA";"07.675.332/0001-15";"3306976.89";"ESCOLA MUNICIPAL PROF. ADEMIR CORREA BARBOSA - CP 05/2014";"03/09/2014";"03/09/2014";"30/01/2015";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"20 / 2023";"20 / 2023";"CONSTRUTORA DE OBRAS LUNICA LTDA";"15.566.795/0001-77";"778907.5000";"CP 3-2023 - REFORMA DA UNIDADE DE SAÚDE DA FAMÍLIA DO DISTRITO DE SÃO SALVADOR";"16/06/2023";"16/06/2023";"13/10/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"21 / 2023";"21 / 2023";"FERNANDES TERRAPLENAGEM LTDA";"10.745.478/0001-02";"1390735.2400";"CP 18/2023 - Pavimentacao Estrada Rural São Roque Lopeí";"28/07/2023";"28/07/2023";"24/11/2023";"100";"Concluída"
"ACESC - ADMINISTRADORA DE CEMITERIOS E SERVIÇOS FUNERARIOS DE CASCAVEL";"1 / 2023";"2 / 2023";"MATHEUS ENGENHARIA LTDA";"35.067.664/0001-52";"595086.7600";"CONSTRUÇÃO DE CAPELA MORTUÁRIA NO BAIRRO ALTO ALEGRE";"01/09/2023";"01/09/2023";"15/11/2023";"89.46";"Paralisada/Suspensa"
"MUNICÍPIO DE CASCAVEL";"1 / 2012";"7 / 2012";"GOMES E SEBBEN LTDA- ME";"14.578.825/0001-00";"85193.51";"QUIOSQUE LAGO MUNICIPAL - TP 34/2012";"19/06/2012";"19/06/2012";"16/10/2012";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"1 / 2015";"2 / 2015";"ENGETECNE  CONSTRUÇÃO CIVIL LTDA EPP";"10.484.006/0001-35";"3244738.55";"UNIDADE DE PRONTO ATENDIMENTO SANGA FUNDA - CP 14/2014";"30/01/2015";"30/01/2015";"24/03/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"2 / 2015";"3 / 2015";"WZK CONSTRUCOES LTDA; WZK CONSTRUCOES LTDA";"12.066.060/0001-96; 12.066.060/0001-96";"1186692.66";"ESCOLA DO CAMPO ZUMBI DOS PALMARES - TP 35/2015";"04/02/2015";"04/02/2015";"31/10/2015";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"4 / 2015";"16 / 2015";"CONSORCIO PAULITEC - AUGUSTO VELLOSO; CONSORCIO PAULITEC - AUGUSTO VELLOSO; CONSORCIO PAULITEC - AUGUSTO VELLOSO";"22.044.294/0001-96; 22.044.294/0001-96; 22.044.294/0001-96";"58078069.2200";"REURBANIZAÇÃO DA AVENIDA BRASIL, CALÇADÃO DA AVENIDA BRASIL E SEU ENTORNO - CP 17/2014";"02/04/2015";"02/04/2015";"21/03/2017";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"5 / 2015";"18 / 2015";"CONSTRUTORA CENTER LUZ LTDA - EPP";"09.009.661/0001-52";"996926.10";"MODERNIZAÇÃO DE QUADRAS ESPORTIVAS EM VÁRIOS BAIRROS - TP 57/2014";"15/04/2015";"15/04/2015";"10/12/2015";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"8 / 2015";"26 / 2015";"N DALMINA CONSTRUCOES LTDA; N DALMINA CONSTRUCOES LTDA; N DALMINA CONSTRUCOES LTDA";"78.080.199/0001-00; 78.080.199/0001-00; 78.080.199/0001-00";"7794453.3300";"ESTÁDIO OLÍMPICO DE CASCAVEL - CP 02/2015";"12/08/2015";"12/08/2015";"07/04/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"21 / 2015";"22 / 2015";"COMPANHIA MUNICIPAL DE HABITACÃO DE CASCAVEL - COHAVEL";"00.063.738/0001-06";"91776.2900";"CASA UNIFAMILIAR DE INTERESSE SOCIAL - DISP. 17/2015";"01/06/2015";"01/06/2015";"27/11/2015";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"6 / 2015";"20 / 2015";"ECEC - EMPRESA CASCAVELENSE DE ENGENHARIA E CONSTRUÇÕES LTDA; ECEC - EMPRESA CASCAVELENSE DE ENGENHARIA E CONSTRUÇÕES LTDA";"07.395.174/0001-40; 07.395.174/0001-40";"1044378.16";"PAVIMENTAÇÃO DE VIAS URBANAS - RECUPERAÇÃO DE CAPA ASFÁLTICA - TP 05/2015";"08/06/2015";"08/06/2015";"05/10/2015";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"4 / 2018";"4 / 2018";"BTEC OBRAS DE ENGENHARIA LTDA";"76.470.384/0001-78";"139870.0000";"TP 16-2017 - REFORMA NA ESCOLA DO CAMPO CARLOS DE CARVALHO";"15/02/2018";"15/02/2018";"14/06/2018";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"32 / 2016";"32 / 2016";"COSTA OESTE CONSTRUCOES LTDA; COSTA OESTE CONSTRUCOES LTDA";"02.356.306/0001-00; 02.356.306/0001-00";"3971056.9500";"TERMINAL LESTE - CP 09/2016 - PDI/BID";"13/12/2016";"13/12/2016";"11/04/2017";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"9 / 2015";"29 / 2015";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA; ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21; 10.906.818/0001-21";"121036.5800";"ESCOLA MUNICIPAL NICANOR SILVEIRA SCHUMACHER - TP 11/2015";"10/09/2015";"10/09/2015";"06/02/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"11 / 2015";"31 / 2015";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"146223.16";"ILUMINAÇÃO PÚBLICA - TP 16/2015";"15/10/2015";"15/10/2015";"11/02/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"12 / 2015";"32 / 2015";"MEP ARQUITETURA E PLANEJAMENTO LTDA";"06.164.906/0001-28";"420000.00";"HOSPITAL MUNICIPAL - TP 17/2015";"11/11/2015";"11/11/2015";"08/04/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"13 / 2015";"37 / 2015";"AGUA BOA POÇOS ARTESIANOS LTDA - ME";"02.486.286/0001-92";"28500.00";"POÇO ARTESIANO NA COMUNIDADE DE SÃO ROQUE II, DISTRITO DE SÃO SALVADOR - TP 23/2015";"30/12/2015";"30/12/2015";"08/01/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"14 / 2015";"33 / 2015";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"59779.44";"ILUMINAÇÃO PÚBLICA - LOTEAMENTO BARCELONA - TP 18/2015";"27/11/2015";"27/11/2015";"10/01/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"15 / 2015";"34 / 2015";"ABEL SGARIONI ENGENHARIA E CONSTRUÇÃO CIVIL LTDA; ABEL SGARIONI ENGENHARIA E CONSTRUÇÃO CIVIL LTDA";"07.993.729/0001-55; 07.993.729/0001-55";"1589116.6100";"UBS FACULDADE - CP 04/2015";"15/12/2015";"15/12/2015";"08/11/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"16 / 2015";"35 / 2015";"CONSTRUTORA IMEDIATA LTDA; CONSTRUTORA IMEDIATA LTDA";"10.496.232/0001-36; 10.496.232/0001-36";"1173007.6100";"CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL (CRAS) DO INTERLAGOS - TP 19/2015";"15/12/2015";"15/12/2015";"11/06/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"17 / 2015";"36 / 2015";"GIGA LUZ INSTALACOES ELETRICAS LTDA";"17.379.750/0001-19";"81309.54";"ILUMINAÇÃO PÚBLICA - ILUMINAÇÃO PÚBLICA EM VÁRIAS RUAS - TP 22/2015";"15/12/2015";"15/12/2015";"12/02/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"19 / 2015";"28 / 2015";"EMERSON J. CARDOSO & CIA. LTDA.";"05.135.406/0001-03";"132021.00";"ILUMINAÇÃO PÚBLICA - EXECUÇÃO DE EXTENSÕES DE REDE ILUMINAÇÃO PÚBLICA EM VÁRIAS RUAS - TP 12/2015";"26/08/2015";"26/08/2015";"23/11/2015";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"20 / 2015";"1 / 2015";"ENGETECNE  CONSTRUÇÃO CIVIL LTDA EPP; ENGETECNE  CONSTRUÇÃO CIVIL LTDA EPP";"10.484.006/0001-35; 10.484.006/0001-35";"555937.48";"ESCOLA MUNICIPAL EMÍLIA GALAFASSI - REFORMA E ACESSIBILIDADE - TP 41/2014";"09/01/2015";"09/01/2015";"07/06/2015";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"10 / 2016";"10 / 2016";"CONSTRUTORA KARTAL LTDA; CONSTRUTORA KARTAL LTDA";"13.852.015/0001-20; 13.852.015/0001-20";"1033221.2400";"PAVIMENTAÇÃO DE VIAS URBANAS - AVENIDA DAS POMBAS - TP 36/2015";"10/06/2016";"10/06/2016";"06/11/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"11 / 2016";"11 / 2016";"BC CONSTRUTORA LTDA; BC CONSTRUTORA LTDA; BC CONSTRUTORA LTDA; BC CONSTRUTORA LTDA; BC CONSTRUTORA LTDA";"11.478.001/0001-62; 11.478.001/0001-62; 11.478.001/0001-62; 11.478.001/0001-62; 11.478.001/0001-62";"1141443.4900";"PRÉDIOS PÚBLICOS - EXECUÇÃO DE CALÇADAS - CP 01/2016";"13/06/2016";"13/06/2016";"10/10/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"10 / 2014";"47 / 2014";"INTERLAGOS MATERIAIS DE CONSTRUCAO LTDA; INTERLAGOS MATERIAIS DE CONSTRUCAO LTDA";"02.328.802/0001-50; 02.328.802/0001-50";"353453.38";"PARQUE DANILO GALAFASSI - CONTINUAÇÃO DE REVITALIZAÇÃO - TP 21/2014";"04/12/2014";"04/12/2014";"03/03/2015";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"18 / 2015";"23 / 2015";"GIGA LUZ INSTALACOES ELETRICAS LTDA; GIGA LUZ INSTALACOES ELETRICAS LTDA";"17.379.750/0001-19; 17.379.750/0001-19";"116420.56";"ILUMINAÇÃO PÚBLICA - AVENIDA BRASIL - TP 06/2015";"02/07/2015";"02/07/2015";"29/10/2015";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"14 / 2016";"14 / 2016";"CONSTRUTORA KARTAL LTDA";"13.852.015/0001-20";"1582019.2800";"PAVIMENTAÇÃO DE VIAS URBANAS - VÁRIAS RUAS - CP 05/2016 - LOTE 01";"28/06/2016";"28/06/2016";"22/02/2017";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"6 / 2019";"6 / 2019";"OTT CONSTRUÇÕES E INCORPORAÇÕES LTDA; OTT CONSTRUÇÕES E INCORPORAÇÕES LTDA; OTT CONSTRUÇÕES E INCORPORAÇÕES LTDA; OTT CONSTRUÇÕES E INCORPORAÇÕES LTDA";"78.898.913/0001-64; 78.898.913/0001-64; 78.898.913/0001-64; 78.898.913/0001-64";"18931397.3600";"CP 32-2018 - CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DO TÉRMINO DA CONSTRUÇÃO DO TERMINAL DE PASSAGEIRO";"14/03/2019";"14/03/2019";"07/03/2020";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"52 / 2019";"52 / 2019";"CONSTRUTORA VALE OESTE LTDA; CONSTRUTORA VALE OESTE LTDA";"09.346.676/0001-06; 09.346.676/0001-06";"1549571.2700";"TP 2-2019 - UNIDADE DE SAÚDE DE RIO DO SALTO";"30/09/2019";"02/10/2019";"28/04/2020";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"16 / 2016";"16 / 2016";"PEDREIRA RIO QUATI LTDA";"82.658.253/0001-11";"2341126.5800";"PAVIMENTAÇÃO DE VIAS URBANAS - VÁRIAS RUAS - CP 05/2016 - LOTE 03";"28/06/2016";"28/06/2016";"22/02/2017";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"17 / 2016";"17 / 2016";"JOÃO P. B. FERREIRA & CIA LTDA. - ME";"09.320.122/0001-30";"1538618.9600";"PAVIMENTAÇÃO DE VIAS URBANAS - VÁRIAS RUAS - CP 06/2016 - LOTE 01";"28/06/2016";"28/06/2016";"24/12/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"18 / 2016";"18 / 2016";"CALEMA CONSTRUCOES E OBRAS LTDA";"13.158.037/0001-94";"2125435.3500";"PAVIMENTAÇÃO DE VIAS URBANAS - VÁRIAS RUAS - CP 06/2016 - LOTE 02";"28/06/2016";"28/06/2016";"24/12/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"19 / 2016";"19 / 2016";"PEDREIRA MARMELEIRO LTDA";"76.112.697/0001-54";"1327405.1000";"PAVIMENTAÇÃO DE VIAS URBANAS - VÁRIAS RUAS - CP 06/2016 - LOTE 03";"28/06/2016";"28/06/2016";"24/12/2016";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"21 / 2016";"21 / 2016";"CONSTRUTORA KARTAL LTDA";"13.852.015/0001-20";"3150514.9200";"PAVIMENTAÇÃO DE VIAS URBANAS - VÁRIAS RUAS - CP 06/2016 - LOTE 05";"29/06/2016";"29/06/2016";"23/02/2017";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"22 / 2016";"22 / 2016";"JOÃO P. B. FERREIRA & CIA LTDA. - ME";"09.320.122/0001-30";"2478775.2700";"PAVIMENTAÇÃO DE VIAS URBANAS - VÁRIAS RUAS - CP 06/2016 - LOTE 06";"28/06/2016";"28/06/2016";"22/02/2017";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"35 / 2016";"35 / 2016";"ADALTA CONSTRUTORA LTDA; ADALTA CONSTRUTORA LTDA";"08.727.496/0001-01; 08.727.496/0001-01";"495812.1000";"UBS PRESIDENTE - CP 16/2016 - CONCLUSÃO DE OBRA";"26/12/2016";"27/12/2016";"25/05/2017";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"15 / 2016";"15 / 2016";"CONSTRUTORA KARTAL LTDA";"13.852.015/0001-20";"3094327.2900";"PAVIMENTAÇÃO DE VIAS URBANAS - VÁRIAS RUAS - CP 05/2016 - LOTE 02";"28/06/2016";"28/06/2016";"22/02/2017";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"15 / 2013";"15 / 2013";"OZELAME CONSTRUCOES CIVIS LTDA";"00.395.561/0001-37";"1092308.62";"PARQUE ECOLOGICO PAULO GORSKI";"21/05/2013";"06/06/2013";"03/12/2013";"100";"Concluída"
